DATE,MHICA06107A052NCEN
1989-01-01,21571
1990-01-01,.
1991-01-01,.
1992-01-01,.
1993-01-01,23927
1994-01-01,.
1995-01-01,25935
1996-01-01,.
1997-01-01,27622
1998-01-01,28449
1999-01-01,30273
2000-01-01,32253
2001-01-01,31587
2002-01-01,32033
2003-01-01,33190
2004-01-01,34809
2005-01-01,38179
2006-01-01,41117
2007-01-01,40444
2008-01-01,44383
2009-01-01,39876
2010-01-01,42377
2011-01-01,40599
2012-01-01,40197
2013-01-01,39657
2014-01-01,42360
2015-01-01,42637
2016-01-01,45768
2017-01-01,46377
2018-01-01,48763
2019-01-01,56776
2020-01-01,62058
2021-01-01,57398
2022-01-01,64313
